"Reference","Qty","Description","Value","Footprint","DNP"
"C100","1","VJ1206A5R6DXAPW1BC","5.6p","Capacitor_SMD:C_1206_3216Metric",""
"C101","1","MKP2C023301B00KSSD","0.033u","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"C102","1","GRM3195C2A103JA01D","0.01u","Capacitor_SMD:C_1206_3216Metric",""
"C103","1","C1206C331K5GACTU","330p","Capacitor_SMD:C_1206_3216Metric",""
"C104","1","C1206C150J5GAC7210","15p","Capacitor_SMD:C_1206_3216Metric",""
"C105","1","GRM3195C2A103JA01D","0.01u","Capacitor_SMD:C_1206_3216Metric",""
"C106","1","C1206C331K5GACTU","330p","Capacitor_SMD:C_1206_3216Metric",""
"C107","1","GRM3195C1H152JA01D","1500p","Capacitor_SMD:C_1206_3216Metric",""
"C108","1","GRM3195C2A103JA01D","0.01u","Capacitor_SMD:C_1206_3216Metric",""
"C109","1","35YXJ47M5X11","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"C110","1","C1206C331K5GACTU","330p","Capacitor_SMD:C_1206_3216Metric",""
"C111","1","C1206C681J5GACAUTO","680p","Capacitor_SMD:C_1206_3216Metric",""
"C112","1","35YXJ47M5X11","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"C113","1","C1206C150J5GAC7210","15p","Capacitor_SMD:C_1206_3216Metric",""
"C114","1","VJ1206A5R6DXAPW1BC","5.6p","Capacitor_SMD:C_1206_3216Metric",""
"C115","1","C1206C104K5RAC7867","1u","Capacitor_SMD:C_1206_3216Metric",""
"C116","1","MKP2C023301B00KSSD","0.033u","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"C117","1","GRM3195C2A103JA01D","0.01u","Capacitor_SMD:C_1206_3216Metric",""
"C118","1","C1206C150J5GAC7210","15p","Capacitor_SMD:C_1206_3216Metric",""
"C119","1","C1206C331K5GACTU","330p","Capacitor_SMD:C_1206_3216Metric",""
"C120","1","GRM3195C1H152JA01D","1500p","Capacitor_SMD:C_1206_3216Metric",""
"C121","1","35YXJ47M5X11","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"C122","1","860160575031","1000u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C123","1","860160575031","1000u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C124","1","35YXJ47M5X11","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"C125","1","35YXJ47M5X11","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"C126","1","C1206C104K5RAC7867","1u","Capacitor_SMD:C_1206_3216Metric",""
"C127","1","C1206C681J5GACAUTO","680p","Capacitor_SMD:C_1206_3216Metric",""
"C128","1","35YXJ47M5X11","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"C129","1","860160575031","1000u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C130","1","860160575031","1000u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C131","1","35YXJ47M5X11","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"C132","1","35YXJ47M5X11","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"C133","1","C1206C104K5RAC7867","1u","Capacitor_SMD:C_1206_3216Metric",""
"C134","1","C1206C150J5GAC7210","15p","Capacitor_SMD:C_1206_3216Metric",""
"C135","1","C1206C104K5RAC7867","1u","Capacitor_SMD:C_1206_3216Metric",""
"C136","1","C1206C104K5RAC7867","1u","Capacitor_SMD:C_1206_3216Metric",""
"C137","1","C1206C104K5RAC7867","1u","Capacitor_SMD:C_1206_3216Metric",""
"C138","1","C1206C104K5RAC7867","1u","Capacitor_SMD:C_1206_3216Metric",""
"D100","1","BAV99-13-F","BAV99","Package_TO_SOT_SMD:SOT-23",""
"D101","1","BAV99-13-F","BAV99","Package_TO_SOT_SMD:SOT-23",""
"D102","1","BAV99-13-F","BAV99","Package_TO_SOT_SMD:SOT-23",""
"D103","1","BAV99-13-F","BAV99","Package_TO_SOT_SMD:SOT-23",""
"D104","1","RS1D-13-F","RS1D-13-F","Diode_SMD:D_SMA",""
"D105","1","156120VS75000","LED","LED_SMD:LED_1206_3216Metric",""
"D106","1","BAV99-13-F","BAV99","Package_TO_SOT_SMD:SOT-23",""
"D107","1","BAV99-13-F","BAV99","Package_TO_SOT_SMD:SOT-23",""
"D108","1","BAV99-13-F","BAV99","Package_TO_SOT_SMD:SOT-23",""
"D109","1","BAV99-13-F","BAV99","Package_TO_SOT_SMD:SOT-23",""
"D110","1","RS1D-13-F","RS1D-13-F","Diode_SMD:D_SMA",""
"J100","1","Generic connector, single row, 01x03, script generated","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J101","1","SJ1-3535NG","SJ1-3535NG","Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",""
"J102","1","Generic connector, single row, 01x03, script generated","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J103","1","SJ1-3535NG","SJ1-3535NG","Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",""
"J104","1","Generic connector, single row, 01x03, script generated","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J105","1","Generic connector, single row, 01x05, script generated","Conn_01x05_Pin","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"J106","1","Generic connector, single row, 01x02, script generated","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"K100","1","G6K-2P-Y-DC24","G6K-2P-Y","Relay_THT:Relay_DPDT_Omron_G6K-2P-Y",""
"K101","1","G6K-2P-Y-DC24","G6K-2P-Y","Relay_THT:Relay_DPDT_Omron_G6K-2P-Y",""
"Q100","1","PZT2222A,135","NPN","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"Q101","1","PZT2907A,135","PNP","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
